bootstrap_draw,total_event_copies,multi_horizon_captured_events,matched_60_day_base_captured_events,event_coverage_difference
370,739,267,281,-0.0189445196211096
371,668,272,282,-0.0149700598802395
372,633,218,228,-0.0157977883096366
373,732,274,275,-0.0013661202185792
374,796,286,297,-0.0138190954773869
375,717,279,295,-0.0223152022315202
376,717,255,272,-0.0237099023709902
377,685,262,266,-0.0058394160583941
378,739,282,292,-0.013531799729364
379,680,256,263,-0.0102941176470588
380,729,285,290,-0.0068587105624142
381,726,303,308,-0.0068870523415977
382,676,256,260,-0.0059171597633136
383,707,296,298,-0.0028288543140028
384,764,286,314,-0.0366492146596858
385,737,267,275,-0.010854816824966
386,728,265,276,-0.0151098901098901
387,746,270,276,-0.0080428954423592
388,717,271,278,-0.00976290097629
389,743,285,293,-0.0107671601615074
390,608,249,255,-0.0098684210526315
391,706,241,259,-0.0254957507082152
392,700,270,272,-0.0028571428571428
393,723,281,286,-0.0069156293222683
394,667,259,265,-0.0089955022488755
395,772,273,283,-0.0129533678756476
396,648,231,244,-0.0200617283950617
397,727,275,294,-0.0261348005502063
398,662,265,279,-0.0211480362537764
399,668,265,274,-0.0134730538922155
400,591,220,228,-0.0135363790186125
401,698,282,293,-0.0157593123209169
402,691,256,266,-0.0144717800289435
403,703,262,265,-0.0042674253200568
404,610,241,247,-0.0098360655737704
405,801,281,293,-0.0149812734082397
406,704,277,282,-0.0071022727272727
407,711,265,269,-0.0056258790436005
408,599,222,223,-0.001669449081803
409,723,257,267,-0.0138312586445366
410,685,240,253,-0.018978102189781
411,673,264,271,-0.0104011887072808
412,710,270,275,-0.0070422535211267
413,734,285,300,-0.0204359673024523
414,778,288,298,-0.0128534704370179
415,678,244,261,-0.0250737463126843
416,686,275,281,-0.0087463556851311
417,640,237,248,-0.0171875
418,777,287,296,-0.0115830115830115
419,720,260,274,-0.0194444444444444
420,664,273,274,-0.0015060240963855
421,764,283,297,-0.0183246073298429
422,681,247,255,-0.0117474302496328
423,709,281,289,-0.0112834978843441
424,693,294,301,-0.0101010101010101
425,735,268,281,-0.0176870748299319
426,714,254,258,-0.0056022408963585
427,772,273,276,-0.0038860103626943
428,725,299,304,-0.0068965517241379
429,649,255,267,-0.0184899845916795
430,719,264,278,-0.019471488178025
431,723,262,263,-0.0013831258644536
432,733,288,296,-0.0109140518417462
433,646,263,281,-0.0278637770897832
434,788,298,308,-0.0126903553299492
435,762,284,297,-0.0170603674540682
436,729,256,267,-0.0150891632373113
437,662,257,265,-0.0120845921450151
438,608,224,239,-0.0246710526315789
439,736,272,283,-0.014945652173913
440,698,283,284,-0.0014326647564469
441,661,260,265,-0.0075642965204236
442,766,284,293,-0.0117493472584856
443,588,231,231,0.0
444,664,254,255,-0.0015060240963855
445,770,274,288,-0.0181818181818181
446,661,249,261,-0.0181543116490166
447,647,241,248,-0.0108191653786707
448,725,265,271,-0.0082758620689655
449,683,265,275,-0.0146412884333821
450,741,270,288,-0.0242914979757085
451,691,262,277,-0.0217076700434153
452,800,285,299,-0.0175
453,679,261,268,-0.0103092783505154
454,723,270,274,-0.0055325034578146
455,710,271,276,-0.0070422535211267
456,637,245,249,-0.0062794348508634
457,778,289,301,-0.0154241645244215
458,714,266,280,-0.0196078431372549
459,696,280,282,-0.0028735632183908
460,749,297,314,-0.0226969292389853
461,671,261,270,-0.0134128166915052
462,646,240,250,-0.0154798761609907
463,699,253,261,-0.0114449213161659
464,741,279,284,-0.0067476383265856
465,778,296,300,-0.0051413881748071
466,714,268,274,-0.0084033613445378
467,740,286,295,-0.0121621621621621
468,714,288,301,-0.0182072829131652
469,711,262,272,-0.0140646976090014
470,619,251,257,-0.0096930533117932
471,644,245,260,-0.0232919254658385
472,687,255,262,-0.0101892285298398
473,748,294,303,-0.0120320855614973
474,719,272,277,-0.0069541029207232
475,601,242,247,-0.0083194675540765
476,708,268,277,-0.0127118644067796
477,734,269,286,-0.0231607629427792
478,749,288,302,-0.0186915887850467
479,653,248,260,-0.0183767228177641
480,634,243,245,-0.0031545741324921
481,644,237,240,-0.0046583850931677
482,708,256,269,-0.0183615819209039
483,767,285,290,-0.0065189048239895
484,701,281,292,-0.0156918687589158
485,767,283,290,-0.0091264667535853
486,637,246,257,-0.0172684458398744
487,682,247,259,-0.0175953079178885
488,691,260,278,-0.0260492040520984
489,774,289,306,-0.0219638242894056
490,768,285,297,-0.015625
491,767,261,272,-0.014341590612777
492,588,222,233,-0.0187074829931972
493,719,277,278,-0.0013908205841446
494,755,280,292,-0.0158940397350993
495,674,248,257,-0.0133531157270029
496,725,304,306,-0.0027586206896551
497,595,226,228,-0.0033613445378151
498,715,254,258,-0.0055944055944055
499,643,236,246,-0.015552099533437
500,683,253,261,-0.0117130307467057
501,739,262,274,-0.0162381596752368
502,703,255,276,-0.0298719772403982
503,722,264,276,-0.0166204986149584
504,701,265,278,-0.0185449358059914
505,784,287,296,-0.0114795918367346
506,639,243,248,-0.0078247261345852
507,635,260,268,-0.0125984251968503
508,760,288,297,-0.0118421052631578
509,708,254,259,-0.0070621468926553
510,777,280,299,-0.0244530244530244
511,695,282,299,-0.0244604316546762
512,722,258,257,0.0013850415512465
513,728,289,290,-0.0013736263736263
514,825,301,319,-0.0218181818181818
515,711,255,264,-0.0126582278481012
516,682,254,269,-0.0219941348973607
517,709,285,292,-0.0098730606488011
518,738,281,288,-0.0094850948509485
519,731,233,241,-0.0109439124487004
520,639,275,287,-0.0187793427230046
521,617,234,244,-0.0162074554294975
522,678,250,252,-0.0029498525073746
523,712,256,268,-0.0168539325842696
524,658,250,255,-0.0075987841945288
525,713,264,269,-0.0070126227208976
526,721,278,283,-0.0069348127600554
527,689,262,273,-0.0159651669085631
528,647,250,265,-0.0231839258114374
529,679,261,271,-0.0147275405007363
530,638,252,259,-0.0109717868338558
531,688,276,284,-0.0116279069767441
532,716,258,267,-0.0125698324022346
533,664,262,273,-0.0165662650602409
534,712,253,256,-0.0042134831460674
535,740,267,277,-0.0135135135135135
536,702,264,278,-0.0199430199430199
537,766,287,301,-0.0182767624020887
538,750,277,286,-0.012
539,654,249,259,-0.0152905198776758
540,656,246,259,-0.0198170731707317
541,699,266,273,-0.0100143061516452
542,763,262,277,-0.019659239842726
543,679,271,276,-0.0073637702503681
544,710,278,289,-0.0154929577464788
545,713,267,283,-0.0224403927068723
546,734,280,286,-0.0081743869209809
547,667,261,274,-0.0194902548725637
548,662,250,263,-0.0196374622356495
549,707,267,270,-0.0042432814710042
550,657,252,252,0.0
551,653,251,257,-0.009188361408882
552,662,232,242,-0.0151057401812688
553,769,306,310,-0.0052015604681404
554,758,290,300,-0.0131926121372031
555,739,286,294,-0.0108254397834912
556,581,234,254,-0.0344234079173838
557,816,288,292,-0.0049019607843137
558,620,231,243,-0.0193548387096774
559,678,277,283,-0.0088495575221238
560,658,236,244,-0.0121580547112462
561,689,270,275,-0.0072568940493468
562,680,262,275,-0.0191176470588235
563,667,238,244,-0.0089955022488755
564,767,272,283,-0.014341590612777
565,727,305,307,-0.0027510316368638
566,670,248,257,-0.0134328358208955
567,707,272,285,-0.0183875530410183
568,647,262,265,-0.0046367851622874
569,705,258,273,-0.0212765957446808
570,817,303,321,-0.02203182374541
571,723,277,292,-0.0207468879668049
572,707,264,275,-0.0155586987270155
573,758,284,293,-0.0118733509234828
574,720,271,283,-0.0166666666666666
575,732,279,293,-0.0191256830601092
576,682,273,281,-0.0117302052785923
577,706,266,276,-0.0141643059490084
578,689,276,290,-0.0203193033381712
579,731,274,289,-0.0205198358413132
580,597,203,210,-0.0117252931323283
581,658,240,244,-0.0060790273556231
582,683,283,290,-0.0102489019033674
583,710,263,270,-0.0098591549295774
584,758,283,295,-0.0158311345646438
585,679,272,276,-0.0058910162002945
586,714,264,267,-0.0042016806722689
587,726,262,274,-0.0165289256198347
588,731,271,280,-0.0123119015047879
589,712,271,281,-0.0140449438202247
590,668,251,267,-0.0239520958083832
591,703,258,271,-0.0184921763869132
592,659,264,272,-0.0121396054628224
593,679,248,247,0.0014727540500736
594,698,296,299,-0.0042979942693409
595,733,258,265,-0.0095497953615279
596,668,252,249,0.0044910179640718
597,711,289,302,-0.0182841068917018
598,750,286,298,-0.016
599,662,257,268,-0.0166163141993957
600,756,278,287,-0.0119047619047619
601,694,255,266,-0.015850144092219
602,616,225,233,-0.0129870129870129
603,733,293,300,-0.0095497953615279
604,671,259,273,-0.0208643815201192
605,628,232,230,0.0031847133757961
606,738,303,314,-0.0149051490514905
607,731,270,284,-0.0191518467852257
608,723,268,287,-0.0262793914246196
609,684,271,278,-0.0102339181286549
610,616,215,216,-0.0016233766233766
611,760,289,289,0.0
612,650,248,257,-0.0138461538461538
613,816,309,309,0.0
614,637,237,243,-0.0094191522762951
615,636,249,254,-0.0078616352201257
616,797,289,294,-0.0062735257214554
617,675,267,277,-0.0148148148148148
618,775,290,300,-0.0129032258064516
619,688,249,268,-0.0276162790697674
620,763,279,288,-0.0117955439056356
621,760,269,283,-0.0184210526315789
622,734,277,290,-0.0177111716621253
623,820,296,306,-0.0121951219512195
624,629,250,250,0.0
625,672,253,264,-0.0163690476190476
626,641,253,255,-0.0031201248049922
627,666,259,270,-0.0165165165165165
628,786,280,301,-0.0267175572519083
629,712,284,302,-0.0252808988764044
630,730,282,295,-0.0178082191780821
631,718,260,270,-0.0139275766016713
632,768,315,328,-0.0169270833333333
633,699,253,260,-0.0100143061516452
634,717,267,278,-0.0153417015341701
635,659,258,262,-0.0060698027314112
636,648,251,255,-0.0061728395061728
637,721,266,266,0.0
638,706,258,264,-0.0084985835694051
639,721,273,283,-0.0138696255201109
640,763,277,284,-0.0091743119266055
641,711,272,277,-0.0070323488045007
642,716,253,268,-0.020949720670391
643,666,264,283,-0.0285285285285285
644,686,238,256,-0.0262390670553935
645,709,259,269,-0.0141043723554301
646,752,283,291,-0.0106382978723404
647,648,259,259,0.0
648,701,250,261,-0.0156918687589158
649,692,254,261,-0.0101156069364161
650,714,289,302,-0.0182072829131652
651,689,240,254,-0.0203193033381712
652,610,242,249,-0.0114754098360655
653,735,288,297,-0.0122448979591836
654,650,255,259,-0.0061538461538461
655,638,278,284,-0.0094043887147335
656,766,294,305,-0.0143603133159268
657,658,243,252,-0.0136778115501519
658,751,272,284,-0.0159786950732356
659,636,246,252,-0.0094339622641509
660,668,243,256,-0.0194610778443113
661,741,282,298,-0.0215924426450742
662,668,260,261,-0.0014970059880239
663,655,234,242,-0.0122137404580152
664,690,283,275,0.0115942028985507
665,772,286,300,-0.0181347150259067
666,698,271,278,-0.0100286532951289
667,721,276,286,-0.0138696255201109
668,617,208,210,-0.0032414910858995
669,739,271,286,-0.020297699594046
670,655,255,255,0.0
671,752,248,255,-0.0093085106382978
672,734,266,289,-0.0313351498637602
673,674,243,245,-0.0029673590504451
674,690,248,265,-0.0246376811594202
675,694,231,247,-0.0230547550432276
676,649,271,280,-0.0138674884437596
677,721,254,264,-0.0138696255201109
678,681,267,277,-0.0146842878120411
679,732,270,271,-0.0013661202185792
680,684,234,251,-0.0248538011695906
681,621,242,250,-0.0128824476650563
682,657,261,270,-0.0136986301369863
683,666,248,248,0.0
684,624,256,261,-0.0080128205128205
685,635,229,236,-0.011023622047244
686,663,242,250,-0.0120663650075414
687,558,211,215,-0.007168458781362
688,681,256,271,-0.0220264317180616
689,608,240,247,-0.0115131578947368
690,694,261,263,-0.0028818443804034
691,622,255,262,-0.0112540192926045
692,741,289,290,-0.0013495276653171
693,718,272,279,-0.0097493036211699
694,689,238,253,-0.0217706821480406
695,700,268,276,-0.0114285714285714
696,731,286,302,-0.0218878248974008
697,703,259,267,-0.011379800853485
698,803,288,296,-0.0099626400996264
699,809,300,314,-0.0173053152039555
700,692,285,289,-0.0057803468208092
701,693,273,281,-0.0115440115440115
702,622,225,239,-0.022508038585209
703,705,266,275,-0.0127659574468085
704,649,246,251,-0.0077041602465331
705,703,268,274,-0.0085348506401137
706,748,299,301,-0.0026737967914438
707,655,251,258,-0.0106870229007633
708,764,279,284,-0.006544502617801
709,662,264,275,-0.0166163141993957
710,666,242,249,-0.0105105105105105
711,761,296,304,-0.0105124835742444
712,670,249,265,-0.0238805970149253
713,742,263,273,-0.013477088948787
714,625,240,247,-0.0112
715,732,258,266,-0.0109289617486338
716,648,240,241,-0.0015432098765432
717,743,271,283,-0.0161507402422611
718,683,265,275,-0.0146412884333821
719,697,269,290,-0.0301291248206599
720,707,283,290,-0.0099009900990099
721,703,276,281,-0.0071123755334281
722,674,277,278,-0.0014836795252225
723,774,318,322,-0.0051679586563307
724,661,266,267,-0.0015128593040847
725,737,253,254,-0.0013568521031207
726,704,236,244,-0.0113636363636363
727,645,242,250,-0.0124031007751937
728,727,285,286,-0.0013755158184319
729,709,243,249,-0.0084626234132581
730,711,255,265,-0.0140646976090014
731,644,247,257,-0.015527950310559
732,706,254,264,-0.0141643059490084
733,717,285,290,-0.00697350069735
734,720,273,278,-0.0069444444444444
735,672,251,271,-0.0297619047619047
736,730,295,306,-0.0150684931506849
737,722,255,269,-0.0193905817174515
738,667,268,281,-0.0194902548725637
739,714,263,283,-0.0280112044817927
740,694,272,281,-0.0129682997118155
741,682,258,264,-0.0087976539589442
742,704,269,280,-0.015625
743,715,266,278,-0.0167832167832167
744,763,297,301,-0.0052424639580602
745,687,279,281,-0.0029112081513828
746,668,249,256,-0.0104790419161676
747,680,240,248,-0.0117647058823529
748,670,252,265,-0.0194029850746268
749,706,283,295,-0.0169971671388102
750,628,273,274,-0.001592356687898
751,798,308,320,-0.0150375939849624
752,730,277,290,-0.0178082191780821
753,703,254,257,-0.0042674253200568
754,713,263,273,-0.0140252454417952
755,730,266,279,-0.0178082191780821
756,822,322,339,-0.0206812652068126
757,775,296,307,-0.0141935483870967
758,704,269,283,-0.0198863636363636
759,659,245,259,-0.0212443095599393
760,672,231,244,-0.019345238095238
761,636,251,260,-0.0141509433962264
762,711,266,273,-0.0098452883263009
763,747,276,284,-0.0107095046854083
764,659,249,260,-0.0166919575113808
765,712,251,258,-0.0098314606741573
766,610,235,236,-0.001639344262295
767,677,271,276,-0.0073855243722304
768,711,254,259,-0.0070323488045007
769,733,258,275,-0.0231923601637107
770,735,265,277,-0.0163265306122449
771,692,273,280,-0.0101156069364161
772,661,265,270,-0.0075642965204236
773,678,248,258,-0.0147492625368731
774,736,277,285,-0.0108695652173913
775,753,294,302,-0.0106241699867197
776,737,280,290,-0.0135685210312075
777,688,292,303,-0.0159883720930232
778,708,287,292,-0.0070621468926553
779,645,250,254,-0.0062015503875968
780,688,274,278,-0.005813953488372
