panel,policy,display_name,observation_id,value,ecdf,denominator_n,metric,candidate_lake_n,origin_n,adjacent_pair_n,total_selection_slots,unique_selected_lakes,unique_lake_reach_percent,repeat_selection_median,repeat_selection_lower_quartile,repeat_selection_upper_quartile,repeat_selection_mean,jaccard_mean,jaccard_median,jaccard_lower_quartile,jaccard_upper_quartile,jaccard_turnover_mean
a,multi_horizon,Multi-horizon,2025-03-16,0.4526854219948849,0.20930232558139536,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-06-13,0.4538461538461538,0.21705426356589147,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-04-28,0.455012853470437,0.2248062015503876,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-04-13,0.4564102564102564,0.23255813953488372,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-04-18,0.4601542416452442,0.24031007751937986,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-12-26,0.4601542416452442,0.24806201550387597,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-01-19,0.4601542416452442,0.2558139534883721,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-09-01,0.4677419354838709,0.26356589147286824,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-04-04,0.4753246753246753,0.2713178294573643,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-04-17,0.4791666666666667,0.27906976744186046,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-02-18,0.4791666666666667,0.2868217054263566,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
