bootstrap_draw,total_event_copies,captured__primary_31_60__multi_horizon,captured__primary_31_60__direct_60_day,capture_rate_difference__primary_31_60,captured__secondary_1_60__multi_horizon,captured__secondary_1_60__direct_60_day,capture_rate_difference__secondary_1_60
4140,766,294,231,0.08224543080939944,511,320,0.24934725848563966
4141,749,288,214,0.09879839786381844,464,305,0.21228304405874499
4142,668,274,224,0.07485029940119764,462,334,0.19161676646706582
4143,769,273,211,0.08062418725617687,527,316,0.2743823146944083
4144,670,247,193,0.08059701492537313,459,281,0.2656716417910448
4145,736,284,230,0.0733695652173913,472,300,0.23369565217391303
4146,677,258,205,0.07828655834564258,422,268,0.22747415066469717
4147,664,247,200,0.07078313253012047,397,272,0.18825301204819278
4148,657,241,171,0.106544901065449,400,259,0.2146118721461187
4149,677,267,195,0.10635155096011817,421,252,0.24963072378138845
4150,735,251,208,0.058503401360544216,454,305,0.20272108843537417
4151,773,276,225,0.06597671410090555,464,309,0.20051746442432083
4152,684,257,212,0.06578947368421056,432,295,0.2002923976608187
4153,702,268,248,0.02849002849002852,443,334,0.1552706552706553
4154,660,261,204,0.08636363636363636,400,272,0.19393939393939397
4155,693,264,216,0.06926406926406925,424,293,0.18903318903318905
4156,712,278,211,0.09410112359550565,481,300,0.25421348314606745
4157,758,283,217,0.0870712401055409,505,299,0.2717678100263852
4158,784,306,205,0.12882653061224492,537,289,0.3163265306122449
4159,630,241,175,0.10476190476190472,399,249,0.23809523809523808
4160,681,246,180,0.09691629955947134,455,249,0.30249632892804695
4161,665,227,190,0.05563909774436093,394,259,0.20300751879699253
4162,612,243,185,0.09477124183006536,374,256,0.1928104575163399
4163,626,248,204,0.0702875399361022,395,278,0.18690095846645371
4164,660,243,191,0.0787878787878788,381,272,0.16515151515151516
4165,641,264,206,0.09048361934477378,434,303,0.20436817472698904
4166,669,258,187,0.10612855007473843,428,261,0.24962630792227203
4167,701,273,214,0.08416547788873041,463,294,0.2410841654778887
4168,734,264,211,0.0722070844686648,479,316,0.22207084468664856
4169,715,267,221,0.06433566433566434,489,306,0.25594405594405595
4170,757,288,226,0.0819022457067371,470,299,0.225891677675033
4171,815,298,241,0.06993865030674845,553,338,0.26380368098159507
4172,684,263,206,0.08333333333333331,455,289,0.24269005847953218
4173,685,253,213,0.058394160583941646,444,290,0.22481751824817525
4174,710,266,221,0.06338028169014087,452,312,0.1971830985915493
4175,735,274,209,0.08843537414965985,475,295,0.24489795918367352
4176,702,301,234,0.09544159544159547,468,320,0.21082621082621078
4177,725,259,213,0.06344827586206897,458,296,0.2234482758620689
4178,710,276,224,0.07323943661971827,459,311,0.2084507042253521
4179,735,257,192,0.08843537414965985,460,282,0.24217687074829936
4180,745,291,212,0.10604026845637587,483,301,0.2442953020134228
4181,754,285,220,0.08620689655172414,505,315,0.25198938992042436
4182,771,303,218,0.11024643320363164,531,295,0.30609597924773024
4183,677,259,208,0.07533234859675036,424,293,0.19350073855243716
4184,730,281,215,0.09041095890410955,459,289,0.23287671232876717
4185,620,215,177,0.06129032258064521,384,237,0.2370967741935484
4186,760,274,194,0.10526315789473684,477,310,0.21973684210526317
4187,741,286,226,0.08097165991902833,477,322,0.20917678812415652
4188,764,280,203,0.10078534031413611,510,303,0.2709424083769633
4189,855,305,236,0.08070175438596489,560,311,0.29122807017543856
4190,620,241,198,0.06935483870967746,372,278,0.15161290322580645
4191,657,254,199,0.0837138508371385,408,263,0.2207001522070015
4192,734,279,216,0.08583106267029972,445,297,0.20163487738419622
4193,705,292,239,0.075177304964539,453,310,0.20283687943262413
4194,792,291,239,0.06565656565656569,511,353,0.1994949494949495
4195,717,253,178,0.10460251046025101,454,264,0.2649930264993026
4196,649,275,228,0.07241910631741139,435,316,0.18335901386748843
4197,671,274,239,0.05216095380029806,419,322,0.14456035767511177
4198,690,247,192,0.07971014492753625,410,295,0.16666666666666663
4199,630,215,167,0.0761904761904762,364,236,0.20317460317460312
4200,756,298,246,0.06878306878306878,485,329,0.20634920634920634
4201,656,241,184,0.08689024390243899,399,272,0.19359756097560982
4202,637,254,199,0.08634222919937207,414,268,0.22919937205651497
4203,694,256,193,0.09077809798270892,446,271,0.2521613832853025
4204,629,266,207,0.09379968203497618,383,276,0.17011128775834655
4205,718,262,195,0.09331476323119775,461,279,0.2534818941504178
4206,784,305,248,0.07270408163265302,508,312,0.25
4207,635,247,189,0.09133858267716538,405,255,0.23622047244094485
4208,670,257,206,0.07611940298507464,419,300,0.1776119402985074
4209,641,243,188,0.08580343213728553,379,252,0.19812792511700467
4210,711,296,230,0.09282700421940926,455,321,0.18846694796061886
4211,657,296,226,0.106544901065449,464,297,0.2541856925418569
4212,667,252,183,0.10344827586206895,422,254,0.2518740629685157
4213,664,238,184,0.08132530120481929,420,267,0.23042168674698793
4214,640,254,180,0.11562499999999998,400,251,0.23281249999999998
4215,655,272,191,0.12366412213740458,424,251,0.2641221374045802
4216,646,247,213,0.05263157894736842,394,288,0.1640866873065016
4217,685,257,219,0.055474452554744536,414,308,0.15474452554744528
4218,713,262,201,0.08555399719495088,448,296,0.2131837307152875
4219,783,286,224,0.07918263090676886,496,328,0.2145593869731801
4220,633,248,224,0.037914691943127965,392,307,0.13428120063191157
4221,595,261,212,0.08235294117647057,370,280,0.1512605042016807
4222,696,275,216,0.08477011494252873,466,286,0.2586206896551724
4223,660,231,186,0.06818181818181818,412,258,0.23333333333333334
4224,701,267,213,0.07703281027104136,417,297,0.17118402282453632
4225,665,244,180,0.0962406015037594,429,254,0.2631578947368421
4226,756,305,259,0.060846560846560815,467,333,0.1772486772486772
4227,729,270,183,0.11934156378600819,468,265,0.2784636488340192
4228,724,283,212,0.09806629834254144,458,303,0.21408839779005523
4229,739,250,195,0.07442489851150202,456,265,0.25845737483085246
4230,682,263,179,0.12316715542521994,426,257,0.24780058651026393
4231,667,236,197,0.05847076461769113,402,271,0.19640179910044975
4232,643,245,175,0.10886469673405907,395,255,0.21772939346811815
4233,653,232,184,0.07350689127105664,377,260,0.17917304747320062
4234,719,273,219,0.07510431154381086,450,304,0.2030598052851182
4235,693,280,213,0.0966810966810967,437,283,0.2222222222222222
4236,638,259,183,0.11912225705329155,409,247,0.2539184952978056
4237,734,247,196,0.06948228882833785,448,284,0.223433242506812
4238,653,266,199,0.10260336906584988,421,281,0.21439509954058195
4239,604,224,167,0.0943708609271523,378,266,0.18543046357615894
4240,744,271,193,0.10483870967741937,479,270,0.28091397849462363
4241,690,233,154,0.11449275362318842,415,239,0.25507246376811593
4242,692,259,184,0.10838150289017345,425,257,0.24277456647398843
4243,626,257,185,0.11501597444089456,409,257,0.24281150159744408
4244,682,270,191,0.11583577712609971,439,262,0.2595307917888563
4245,657,236,178,0.0882800608828006,375,265,0.16742770167427706
4246,647,249,194,0.08500772797527045,404,288,0.1792890262751159
4247,718,252,195,0.07938718662952643,443,296,0.20473537604456826
4248,766,273,204,0.09007832898172324,490,295,0.2545691906005222
4249,686,254,196,0.08454810495626824,418,288,0.18950437317784258
4250,806,282,210,0.08933002481389579,487,306,0.22456575682382135
4251,754,281,225,0.07427055702917773,475,315,0.21220159151193635
4252,681,238,175,0.09251101321585903,406,252,0.22613803230543317
4253,674,258,186,0.10682492581602376,441,254,0.2774480712166172
4254,683,258,187,0.10395314787701321,434,272,0.23718887262079058
4255,658,264,237,0.04103343465045595,435,318,0.1778115501519757
4256,720,268,212,0.07777777777777778,468,288,0.25
4257,750,280,218,0.08266666666666667,437,302,0.18
4258,744,262,196,0.08870967741935487,454,313,0.18951612903225806
4259,683,264,185,0.11566617862371892,419,261,0.23133235724743778
4260,691,261,214,0.06801736613603476,412,307,0.15195369030390732
4261,713,271,204,0.09396914446002808,442,278,0.23001402524544184
4262,676,244,189,0.08136094674556216,409,270,0.20562130177514798
4263,761,310,238,0.09461235216819974,514,337,0.23258869908015772
4264,698,287,225,0.08882521489971346,467,323,0.20630372492836674
4265,722,281,223,0.08033240997229918,446,284,0.22437673130193903
4266,687,250,225,0.03639010189228531,438,320,0.17176128093158666
4267,789,287,227,0.0760456273764259,499,289,0.2661596958174905
4268,688,255,186,0.10029069767441862,435,282,0.22238372093023256
4269,744,280,190,0.12096774193548387,474,291,0.24596774193548387
4270,748,276,202,0.09893048128342241,464,285,0.2393048128342246
4271,664,263,235,0.04216867469879515,418,324,0.1415662650602409
4272,655,246,180,0.10076335877862597,406,256,0.22900763358778625
4273,687,262,204,0.08442503639010185,460,296,0.23871906841339158
4274,729,294,241,0.0727023319615912,469,324,0.19890260631001377
4275,657,257,190,0.1019786910197869,429,269,0.24353120243531207
4276,840,310,255,0.06547619047619052,557,351,0.2452380952380952
4277,701,282,248,0.04850213980028528,456,334,0.17403708987161193
4278,623,234,179,0.08828250401284105,376,247,0.20706260032102725
4279,710,275,209,0.09295774647887323,454,316,0.1943661971830986
4280,732,280,207,0.09972677595628415,468,296,0.23497267759562845
4281,736,287,223,0.08695652173913043,469,303,0.2255434782608695
4282,749,270,204,0.08811748998664887,470,281,0.2523364485981308
4283,739,290,222,0.09201623815967525,457,305,0.20568335588633285
4284,583,240,181,0.10120068610634647,349,266,0.14236706689536877
4285,680,250,232,0.026470588235294135,422,335,0.12794117647058822
4286,751,295,222,0.09720372836218377,493,319,0.2316910785619174
4287,687,273,186,0.1266375545851528,441,284,0.22852983988355174
4288,761,280,218,0.08147174770039423,460,311,0.19579500657030224
4289,701,282,201,0.11554921540656204,453,290,0.23252496433666192
4290,696,270,202,0.09770114942528735,449,289,0.2298850574712643
4291,670,248,193,0.08208955223880599,400,273,0.1895522388059701
4292,756,275,202,0.09656084656084657,505,294,0.2791005291005291
4293,696,275,205,0.10057471264367818,449,291,0.22701149425287354
4294,605,245,197,0.0793388429752066,378,278,0.1652892561983471
4295,637,244,188,0.08791208791208793,401,259,0.2229199372056515
4296,698,258,184,0.10601719197707737,465,298,0.23925501432664759
4297,686,261,215,0.06705539358600587,421,287,0.19533527696792996
4298,625,248,189,0.09439999999999998,407,275,0.2112
4299,743,273,216,0.07671601615074025,437,291,0.19650067294751006
4300,632,260,187,0.11550632911392406,391,267,0.1962025316455696
4301,683,276,218,0.0849194729136164,436,293,0.2093704245973646
4302,704,276,213,0.08948863636363635,443,297,0.20738636363636365
4303,665,225,181,0.0661654135338346,403,256,0.2210526315789474
4304,685,256,181,0.10948905109489049,420,270,0.21897810218978103
4305,667,264,214,0.0749625187406297,427,273,0.23088455772113947
4306,678,266,201,0.09587020648967548,441,282,0.23451327433628322
4307,667,246,194,0.07796101949025486,425,277,0.22188905547226384
4308,656,257,197,0.09146341463414637,402,271,0.19969512195121952
4309,703,275,224,0.07254623044096731,440,305,0.19203413940256053
4310,654,268,195,0.11162079510703365,429,270,0.2431192660550458
4311,672,276,214,0.09226190476190477,434,291,0.21279761904761907
4312,645,241,198,0.06666666666666665,355,269,0.1333333333333333
4313,691,263,215,0.06946454413892911,419,291,0.18523878437047758
4314,639,250,168,0.1283255086071987,426,257,0.2644757433489828
4315,674,269,193,0.11275964391691395,426,272,0.22848664688427295
4316,709,280,237,0.060648801128349805,462,316,0.2059238363892807
4317,787,287,219,0.08640406607369755,481,307,0.22109275730622624
4318,620,226,164,0.09999999999999998,367,228,0.22419354838709676
4319,637,242,209,0.05180533751962324,390,280,0.17268445839874413
4320,684,270,221,0.07163742690058478,443,296,0.2149122807017544
4321,750,274,202,0.09600000000000003,506,299,0.27599999999999997
4322,664,260,201,0.08885542168674698,435,277,0.23795180722891568
4323,662,257,198,0.08912386706948638,436,285,0.22809667673716005
4324,717,283,206,0.10739191073919108,462,283,0.24965132496513254
4325,770,255,181,0.09610389610389611,476,287,0.24545454545454543
4326,666,252,211,0.06156156156156156,412,304,0.16216216216216223
4327,692,253,204,0.07080924855491327,421,292,0.1864161849710983
4328,771,311,246,0.08430609597924776,531,331,0.2594033722438392
4329,729,277,201,0.10425240054869683,468,293,0.2400548696844993
4330,686,281,228,0.07725947521865889,475,322,0.22303206997084551
